,Open.Price,High.Price,Low.Price,Close.Price,Volume,LMNIDS03,DXY,NKY,SPX,SX5E,UKX,VIX,SHSZ300
2011-01-04,24850.0,25300.0,24800.0,25155.0,7368.0,753.0,79.127,10398.1,1271.87,2839.43,5899.94,17.61,3189.6820000000002
2011-01-05,25000.0,25000.0,24500.0,24750.0,7772.0,775.0,79.444,10380.77,1270.2,2844.17,6013.87,17.38,3175.662000000001
2011-01-06,24850.0,25100.0,24490.0,24565.0,4538.0,578.0,80.258,10529.76,1276.56,2833.74,6043.86,17.02,3159.643
2011-01-07,24600.0,24675.0,24055.0,24200.0,5837.0,460.0,80.791,10541.04,1273.85,2836.23,6019.51,17.4,3166.624000000001
2011-01-10,24150.0,24225.0,23822.0,23875.0,5275.0,720.0,81.012,,1271.5,2808.25,5984.33,17.14,3108.187
2011-01-11,23900.0,24745.0,23900.0,24700.0,6199.0,1183.0,80.881,10510.68,1269.75,2760.88,5956.3,17.54,3124.922
2011-01-12,24719.0,25900.0,24719.0,25800.0,12785.0,1700.0,80.846,10512.8,1274.48,2796.6,6014.03,16.89,3142.337
2011-01-13,25900.0,25999.0,25450.0,25550.0,8401.0,1045.0,80.031,10589.76,1285.96,2879.11,6050.72,16.24,3141.284
2011-01-14,25580.0,26050.0,25250.0,25875.0,7606.0,1355.0,79.191,10499.04,1283.76,2915.62,6023.88,16.39,3091.862
2011-01-17,25900.0,26100.0,25590.0,25835.0,5259.0,558.0,79.16199999999998,10502.86,,2920.4,6002.07,,2974.35
2011-01-18,25720.0,26550.0,25627.0,26100.0,10425.0,1608.0,79.337,10518.98,1293.24,2910.63,5985.7,15.46,2977.6479999999997
2011-01-19,26000.0,26469.0,25610.0,25670.0,8668.0,838.0,78.962,10557.1,1295.02,2945.62,6056.43,15.87,3044.8509999999997
2011-01-20,25680.0,25950.0,25200.0,25770.0,11423.0,4858.0,78.64,10437.31,1281.92,2923.76,5976.7,17.31,2944.7129999999997
2011-01-21,25770.0,26255.0,25650.0,26160.0,8026.0,806.0,78.82300000000002,10274.52,1280.26,2927.42,5867.91,17.99,2983.4559999999997
2011-01-24,26149.0,26499.0,26051.0,26150.0,4509.0,633.0,78.21300000000002,10345.11,1283.35,2970.56,5896.25,18.47,2954.232
2011-01-25,26050.0,26200.0,25585.0,25900.0,7974.0,1103.0,78.05,10464.42,1290.84,2979.06,5943.85,17.65,2938.6540000000005
2011-01-26,25811.0,26625.0,25750.0,26500.0,6530.0,1508.0,78.002,10401.9,1291.18,2957.78,5917.71,17.59,2978.4309999999996
